,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
459,droplet,3m,24m,male,Pilra,2.9415056705474854,4.818249180971179e-06,3.701440436998382e-05,0.00014192817616276443,9.768954100099433e-135
787,droplet,3m,30m,male,Lilra6,2.93928861618042,1.5528289623034652e-06,1.1910717148566619e-05,5.35088729520794e-05,2.54101165050848e-18
36,facs,3m,18m,female,Cebpe,2.9342148303985596,1.5687443237766274e-06,1.1990548955509439e-05,0.00011204695329070091,1.817400593861342e-10
462,droplet,3m,24m,male,Ly6c2,2.9311907291412354,5.143152520759031e-05,0.00039228866808116436,0.0013875318691134453,0.0
419,droplet,24m,30m,male,Ms4a8a,2.9308526515960693,3.114328819719958e-06,2.3748660169076174e-05,9.68591048149392e-05,3.1211667326454584e-74
449,droplet,3m,18m,female,Cxcl15,2.925886392593384,3.057949697904405e-06,2.3238600988406688e-05,0.00018537318101152778,6.790955759693211e-29
450,droplet,3m,18m,male,Ifi204,2.9235212802886963,8.359780622413382e-06,6.342529377434403e-05,0.00016876136942300946,6.309625501005919e-267
464,droplet,3m,24m,male,Asf1b,2.9232022762298584,4.4221537791599985e-06,3.3543277822900563e-05,0.00012479732686188072,1.2318348338689833e-122
796,droplet,3m,30m,male,Clec4a3,2.921931266784668,9.221077561960556e-06,6.988286622799933e-05,0.00019891583360731602,0.0
466,droplet,3m,24m,male,Cxcl9,2.917646646499634,3.1387028229801217e-06,2.3716438590781763e-05,0.000244913506321609,9.864428158938465e-29
87,droplet,18m,21m,female,Ccrl1,2.9175033569335938,1.947588089024066e-06,1.4714765711687505e-05,6.844008748885244e-05,1.1434367759919846e-26
467,droplet,3m,24m,male,Cd300lf,2.915222644805908,2.040150548054953e-06,1.5389758118544705e-05,6.46729749860242e-05,1.8640656096551684e-30
420,droplet,24m,30m,male,Trem2,2.9151477813720703,7.579715202155057e-06,5.717416570405476e-05,0.00017070847388822585,0.0
798,droplet,3m,30m,male,Fcgr1,2.914867401123047,4.150086169829592e-06,3.129822653136216e-05,0.0001137499712058343,1.9601189462862998e-117
468,droplet,3m,24m,male,Ska1,2.9146533012390137,1.512476501375204e-06,1.1404780707380269e-05,5.112221697345376e-05,3.122267020354232e-16
452,droplet,3m,18m,male,Ccl6,2.913802146911621,7.197361992439255e-05,0.0005423944094218314,0.0015925347106531262,0.0
421,droplet,24m,30m,male,Tmem37,2.912459135055542,4.660564172809245e-06,3.508941881591454e-05,0.000130182845168747,1.9320999749761358e-146
799,droplet,3m,30m,male,Timp4,2.9123446941375732,8.027661351661664e-06,6.043551184120588e-05,0.0003397492691874504,3.908570336876821e-178
453,droplet,3m,18m,male,Hba-a2,2.907407522201538,5.861104909854475e-06,4.397404700284824e-05,0.0004745720943901688,5.096597784260808e-20
802,droplet,3m,30m,male,Myl4,2.906315803527832,6.684083018626552e-06,5.0110658776247874e-05,0.0010675940429791808,1.6488442448928993e-15
803,droplet,3m,30m,male,2010001M06Rik,2.9042932987213135,3.6055560030945344e-06,2.699303331610281e-05,0.00017663839389570057,4.584792611297933e-70
88,droplet,18m,21m,female,Clps,2.903653621673584,2.5189494408550672e-05,0.00018849782645702362,0.0027583243791013956,9.700086909218103e-21
804,droplet,3m,30m,male,Hist1h2ao,2.902866840362549,2.805784606607631e-05,0.00020984777074772865,0.0006672695162706077,0.0
472,droplet,3m,24m,male,A530032D15Rik,2.9022719860076904,2.8448223474697443e-06,2.1267976990202442e-05,8.353928569704294e-05,1.0205248653651399e-56
455,droplet,3m,18m,female,Aplp1,2.8996939659118652,3.309745125079644e-06,2.469957689754665e-05,0.00014150430797599256,1.6037475739205264e-47
807,droplet,3m,30m,male,Tnnt1,2.896132230758667,1.730413714540191e-06,1.2881689144705888e-05,5.672163388226181e-05,1.7805582111217964e-21
89,droplet,18m,21m,female,Rnase1,2.892125129699707,1.2370461263344623e-05,9.183374640997499e-05,0.0012132106348872185,3.5645060257707016e-24
90,droplet,18m,21m,female,Pnliprp1,2.8915939331054688,1.3095718713884708e-05,9.718201181385666e-05,0.0014169183559715748,1.9576349624793116e-19
457,droplet,3m,18m,male,Mnda,2.8910410404205322,5.412402970250696e-06,4.0149509004550055e-05,0.00012898907880298793,4.88500827957777e-141
91,droplet,18m,21m,female,Ankrd35,2.889227867126465,1.3534369145418168e-06,1.0027267308032606e-05,5.376973422244191e-05,1.9454251844941078e-11
458,droplet,3m,18m,male,Nfam1,2.8886523246765137,3.220969119865913e-06,2.385380503255874e-05,7.372375694103539e-05,1.118782416321415e-68
459,droplet,3m,18m,male,Sox18,2.888424873352051,4.1976954889833e-06,3.10823306790553e-05,0.00015729629376437515,8.962638542438533e-69
424,droplet,24m,30m,male,Cdh17,2.887230396270752,1.4146219200483756e-06,1.0466070307302289e-05,7.509050192311406e-05,1.5062728407362317e-12
425,droplet,24m,30m,male,Car4,2.8864548206329346,1.1000314771081321e-05,8.134196104947478e-05,0.00037852436071261764,2.9842553088050407e-275
478,droplet,3m,24m,male,Mki67,2.884523868560791,9.002573278849013e-06,6.64805993437767e-05,0.0002519338158890605,2.123166509971556e-252
809,droplet,3m,30m,male,Hmmr,2.8821399211883545,2.956541266030399e-06,2.1796893634018488e-05,8.529014303348958e-05,3.6747937867489547e-63
480,droplet,3m,24m,male,Fn3k,2.876431941986084,2.242518348793965e-06,1.646752753003966e-05,8.121786231640726e-05,3.369132763214661e-33
481,droplet,3m,24m,male,Siglece,2.87630033493042,2.2372908006218495e-06,1.642764254938811e-05,7.424900104524568e-05,1.3827949035490806e-33
41,facs,3m,18m,female,Miox,2.875465154647827,1.7616463082958944e-05,0.0001292766391998157,0.0013550680596381426,4.390588439189202e-21
811,droplet,3m,30m,male,Gca,2.87355375289917,2.913297066697851e-06,2.135063368768897e-05,7.31333639123477e-05,6.026462781749363e-62
812,droplet,3m,30m,male,Ncf1,2.87136173248291,1.6476044038427062e-05,0.00012056437117280439,0.0002311885473318398,0.0
816,droplet,3m,30m,male,Nusap1,2.8669843673706055,6.944741471670568e-06,5.066457379143685e-05,0.00017015784396789968,3.814299483584533e-252
817,droplet,3m,30m,male,Kif15,2.866374969482422,1.1254068112975801e-06,8.206816346501e-06,3.8396658055717126e-05,4.7082967560472686e-07
821,droplet,3m,30m,male,BC089597,2.8567745685577393,3.439495230850298e-06,2.4915501853683963e-05,0.00016983858949970454,3.5091247240664685e-60
822,droplet,3m,30m,male,Dhrs11,2.8560004234313965,7.283692411874654e-06,5.2734332712134346e-05,0.00017535984807182103,4.466618806258257e-272
92,droplet,18m,21m,female,Tmem45a,2.8538265228271484,1.032614818541333e-05,7.46493024053052e-05,0.0002370050351601094,0.0
463,droplet,3m,18m,male,C5ar1,2.85199236869812,1.335417982772924e-05,9.641674841986969e-05,0.0002653301344253123,4.178787e-318
827,droplet,3m,30m,male,Rgs18,2.847933769226074,3.1490028504777e-06,2.2671832994092256e-05,7.48428501538001e-05,6.859595581058839e-69
93,droplet,18m,21m,female,Tmem54,2.8470535278320312,1.4767409766136552e-06,1.062559022102505e-05,4.489690036280081e-05,1.649193828965329e-13
465,droplet,3m,18m,male,Clec1a,2.8464086055755615,4.615417310560588e-06,3.319444658700377e-05,0.0001993890618905425,7.2858729561287695e-59
