,Unnamed: 0,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value,uniprot_mouse,uniprot_daphnia
4154,15336,604,droplet,3m,30m,male,Liver,,,Pcx,-6.515671730041504,0.0001852278219303116,2.0243867311364743e-06,0.00024083125754259527,8.736261244644741e-54,,
4155,34071,182,facs,3m,18m,female,SCAT,Fat,epithelial cell,Acot2,-6.515099048614503,0.0007249471382237972,7.926219950604718e-06,0.0006203407538123429,9.729069364775355e-06,Q9QYR9,
4156,19858,618,droplet,24m,30m,male,Kidney,,,Mettl7a2,6.51500415802002,1.3001397292100592e-07,1.189063459605677e-05,8.831225568428637e-05,3.4366946547806828e-09,,
4157,25077,220,droplet,3m,30m,male,,,,Serpinb2,-6.514302730560303,4.487172554945573e-05,4.908754362986656e-07,0.00024666989338584244,1.7146964811534222e-109,P12388,
4158,15337,605,droplet,3m,30m,male,Lung,,,Npnt,-6.512222290039063,0.0004526784759946168,4.959244051860878e-06,0.0006115378346294165,1.2326957954457987e-255,Q91V88,
4159,37731,528,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Abhd3,-6.5117435455322275,7.098686910467222e-05,7.779422617204546e-07,0.00011803709639934824,1.2281829914369528e-23,Q91ZH7,
4160,2988,563,droplet,3m,24m,male,Kidney,,,Kank2,-6.509918212890625,1.6353049431927502e-05,1.7943855823432386e-07,6.493182445410639e-05,3.4153923687057925e-09,Q8BX02,
4161,2989,564,droplet,3m,24m,male,Kidney,,,Rnf128,-6.508297920227051,0.00011139653361169619,1.22370988719922e-06,0.00018319346418138596,3.090132665449793e-88,Q9D304,
4162,15338,606,droplet,3m,30m,male,Lung,,,S1pr3,-6.5077738761901855,8.730382251087576e-05,9.593954928277526e-07,0.0001884970261016861,1.2119326082519173e-92,Q9Z0U9,
4163,15339,607,droplet,3m,30m,male,Lung,,,Wnt5b,-6.5071964263916025,1.2755907846440095e-05,1.4023196115431347e-07,6.101711551309563e-05,1.6398698750835519e-09,P22726,
4164,15340,608,droplet,3m,30m,male,Liver,,,Pak1,6.5069828033447275,5.736820298807288e-07,5.2175779273966334e-05,7.306991028599441e-05,7.044017218539243e-160,O88643,
4165,28780,183,facs,3m,18m,male,Trachea,,chondrocyte,Eid1,-6.5066022872924805,0.000174134605913423,1.915148232001229e-06,0.00019685024744831023,2.2123932056802898e-14,Q9DCR4,
4166,37732,529,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Acat2,-6.506222724914551,4.4560110836755484e-05,4.902043997390139e-07,8.609044743934646e-05,2.662463464907878e-16,Q8CAY6,
4167,19859,619,droplet,24m,30m,male,Pancreas,,,Prss53,6.506176471710205,1.0246707233818595e-06,9.314060298493132e-05,0.0003422084846533835,1.3509004947811953e-36,Q571E5,
4168,23060,152,droplet,3m,18m,male,,,,Pax6,6.505699634552003,8.9752383303221e-08,8.155705472745469e-06,6.05977293162141e-05,1.114547782453868e-08,P63015,
4169,19860,620,droplet,24m,30m,male,Kidney,,,Ripk4,6.5054931640625,1.2184989373054125e-07,1.1070755135733634e-05,4.514611282502301e-05,1.1624191570804875e-15,Q9ERK0,
4170,5825,443,facs,3m,18m,female,Liver,,,Ldhb,6.505492687225343,9.847636874837915e-07,8.947072637965903e-05,0.00030733153107576067,5.376096083568235e-06,P16125,
4171,23731,49,droplet,3m,21m,female,,,,1110032A04Rik,-6.504335880279541,1.5217692634905688e-05,1.6762778898282704e-07,0.00011838577484013513,2.3135136691752923e-27,,
4172,2990,565,droplet,3m,24m,male,Kidney,,,She,-6.504098415374756,2.2880527467350475e-05,2.520784221360373e-07,8.94390104804188e-05,3.9638953584954536e-11,Q8BSD5,
4173,15341,609,droplet,3m,30m,male,Spleen,,,Sphk1,6.503908634185791,8.05459947628151e-08,7.310059118026403e-06,4.067781992489472e-05,4.5596415756927375e-06,Q8CI15,
4174,15342,610,droplet,3m,30m,male,Liver,,,Mmp15,-6.503711223602295,2.980739009217359e-05,3.2848120667949843e-07,9.276530909119174e-05,4.345194784719454e-06,O54732,
4175,15343,611,droplet,3m,30m,male,Liver,,,Ces2e,-6.503402233123778,0.00021325581474229693,2.3506154320784844e-06,0.00028861832106485963,1.5956138043401943e-49,Q8BK48,
4176,15344,612,droplet,3m,30m,male,Spleen,,,Fpr2,6.502303600311278,3.137039072953485e-07,2.8438695153454322e-05,0.00012076658458681774,3.248054038314094e-61,O88536,
4177,30174,16,droplet,3m,24m,male,Kidney,,lymphocyte,Lrg1,6.5013389587402335,2.340933406230761e-06,0.00021207392273936418,0.0004337634309194982,5.350196648725736e-57,,
4178,23061,153,droplet,3m,18m,male,,,,Slc4a1,6.5009613037109375,2.589248708773084e-07,2.345091161259916e-05,0.00021795253269374368,2.7065955401450867e-34,P04919,
4179,42783,530,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Psd3,-6.500114440917969,2.8557413315866143e-05,3.1549183177048695e-07,7.187035953393206e-05,4.511701726656057e-06,Q2PFD7,
4180,19861,621,droplet,24m,30m,male,Liver,,,Slc10a1,-6.499650955200195,0.00028048851527273655,3.099738933087792e-06,0.00034912588307634,8.296668631654162e-13,O08705,
4181,15345,613,droplet,3m,30m,male,Lung,,,Gfra2,-6.499589920043945,7.139305671444163e-05,7.890125743870158e-07,0.00014871869643684474,3.0650190619002477e-96,O08842,
4182,5826,444,facs,3m,18m,female,Liver,,,Bmyc,6.499284267425537,7.667398449484608e-07,6.936303543625401e-05,0.00019593354954849929,1.9191491308689832e-10,,
4183,15346,614,droplet,3m,30m,male,Lung,,,Hba-a2,6.499053478240968,1.2389024561798578e-07,1.1205999726371374e-05,6.664617103524506e-05,2.3382846112617106e-15,,
