,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
53337,304,droplet,24m,30m,male,Kidney,,,Prkcdbp,8.26285457611084,1.833002443163423e-07,5.6303117162315175e-05,0.0002263256028527394,4.206607979268597e-65
11465,315,droplet,3m,24m,male,Kidney,,,Fkbp9,-8.2626314163208,5.943090218352154e-05,1.9351298874425993e-07,0.000125999198644422,1.4720931073589888e-50
11466,316,droplet,3m,24m,male,Kidney,,,Zcchc14,-8.262346267700195,3.0029583285795525e-05,9.779821397160049e-08,7.719440327491611e-05,2.2324780774495165e-29
11467,317,droplet,3m,24m,male,Kidney,,,Sgpp2,-8.262344360351562,2.735221823968459e-05,8.907878168429306e-08,9.018042328534648e-05,1.9174601521178464e-17
99501,276,facs,3m,24m,male,Liver,Hepatocytes,hepatocyte,Mup15,-8.261363983154297,4.094135147170164e-05,1.334260701923995e-07,6.19587444816716e-05,3.8615594545238795e-12
53338,305,droplet,24m,30m,male,Kidney,,,Col4a5,8.258496284484863,3.676790427675769e-08,1.1259930943197105e-05,4.4923348468728364e-05,1.0332788157837152e-16
98747,97,facs,3m,24m,male,Liver,Hepatocytes,,Dmpk,8.258296966552734,1.9656691563341155e-07,6.018770727678202e-05,0.00014484427811112255,1.6833566813496598e-06
11468,318,droplet,3m,24m,male,Kidney,,,D630029K05Rik,-8.25802230834961,4.737221752293408e-05,1.5474212489152706e-07,0.00012261696974746883,1.2969485683190796e-32
45836,145,droplet,3m,30m,male,Liver,,,F7,-8.257957458496094,0.00013566655979957432,4.4317866354504076e-07,0.00020419809152372181,7.803174521103541e-40
45837,146,droplet,3m,30m,male,Liver,,,Prodh2,-8.257804870605469,0.0001428619580110535,4.667333541874541e-07,0.000223881725105457,1.4990450813386466e-36
45838,147,droplet,3m,30m,male,Lung,,,Kirrel,-8.257417678833008,1.250843342859298e-05,4.087539906549864e-08,5.6116921768989414e-05,1.4002489061245382e-10
67123,136,droplet,3m,30m,male,,,,Pitx1,-8.255844116210938,4.8525602323934436e-05,1.5874921643899143e-07,0.00010806119098560885,0.0
119495,277,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Xab2,-8.253843307495117,0.0001206054657814093,3.9510405258624814e-07,0.00020924101409036666,3.763851199560014e-18
53339,306,droplet,24m,30m,male,Kidney,,,Ptprf,8.253446578979492,3.4868463671955396e-07,0.00010640674736350775,0.00018827769963536412,0.0
62364,94,droplet,3m,18m,female,,,,Cnfn,-8.253165245056152,6.17030673311092e-05,2.0223401975272282e-07,0.0007024751394055784,3.847786814089055e-34
53340,307,droplet,24m,30m,male,Liver,,,Elovl2,-8.246509552001953,0.00023945164866745472,7.884432307037059e-07,0.00028609149740077555,1.7819682878133843e-14
17409,291,facs,3m,18m,female,Liver,,,Tbxa2r,8.244658470153809,2.851500653378025e-07,8.648972288938239e-05,0.00028932318673469126,1.1347081795452453e-06
44601,2,droplet,3m,21m,female,Liver,,,Hsd3b5,-8.243134498596191,2.7173080525244586e-05,8.968159193045722e-08,8.261938637588173e-05,1.0409882075972642e-08
96223,36,facs,18m,24m,male,GAT,Fat,myeloid cell,Gm6981,8.242918968200684,6.799111673672087e-08,2.059797043330036e-05,2.5433819246245548e-05,2.5238810993217947e-15
79581,78,facs,3m,18m,female,Kidney,,epithelial cell of proximal tubule,Prelid1,8.241315841674805,2.6247062123729847e-06,0.0007942625670693815,0.0006883821333758533,7.54265575682013e-21
53341,308,droplet,24m,30m,male,Liver,,,Slc27a2,-8.240121841430664,0.0003841469588223845,1.2704953178399592e-06,0.0004297503619454801,5.122028116919175e-17
86029,3,facs,3m,18m,male,Marrow,B-cells,,Cebpe,8.239336013793945,4.099701413906587e-07,0.00012389123730827123,0.00037859182339161634,8.505990373541754e-12
53342,309,droplet,24m,30m,male,Kidney,,,Slc22a2,8.238910675048828,3.061015547700663e-07,9.24753985600546e-05,0.00018968099902849644,1.001634468698274e-248
11469,319,droplet,3m,24m,male,Kidney,,,Sdc2,-8.23862075805664,7.703891606070101e-05,2.5505650569357385e-07,0.00013829940871801227,8.797648115640322e-73
53343,310,droplet,24m,30m,male,Kidney,,,Gc,8.23857307434082,1.1771282260042426e-07,3.5553723137127236e-05,0.0001894014421850443,5.8869435460934935e-34
39125,10,droplet,3m,18m,male,Lung,,,Sox18,8.236525535583496,2.4113111862789083e-07,7.272711809491739e-05,0.00021896757243666798,3.4706904950818716e-61
64137,38,droplet,3m,21m,female,,,,Prss2,8.235762596130371,1.1728649269571179e-06,0.0003535573196131736,0.004835944157093763,9.305628545260087e-38
64549,71,droplet,3m,24m,male,,,,Igll1,8.234789848327637,3.2636815916475825e-08,9.831954230321571e-06,0.00020992133067920804,3.969309655726471e-06
53344,311,droplet,24m,30m,male,Kidney,,,Tmem229a,8.234782218933105,3.8058612972236006e-07,0.00011464906128821895,0.00018983273184858263,0.0
53345,312,droplet,24m,30m,male,Kidney,,,Rhag,-8.23277473449707,3.750382529688068e-05,1.2466945520372974e-07,0.00020369482808746397,3.0116415059479414e-33
11470,320,droplet,3m,24m,male,Kidney,,,Pcbd1,-8.231099128723145,0.00034399607102386653,1.1448416898929281e-06,0.0003968917008023709,2.336434418043642e-191
53346,313,droplet,24m,30m,male,Kidney,,,Slc16a2,8.229459762573242,3.046575614007452e-07,9.143819625023752e-05,0.00016037828754633665,0.0
64550,72,droplet,3m,24m,male,,,,Aqp5,-8.228781700134277,2.0250774468877353e-05,6.750333625404892e-08,0.00016927419346757233,7.749927695597956e-35
53347,314,droplet,24m,30m,male,Liver,,,Slc22a1,-8.224846839904785,0.000171998719451949,5.749088245465828e-07,0.00027542555471882224,1.6295164474409654e-06
11471,321,droplet,3m,24m,male,Kidney,,,Agphd1,-8.224715232849121,0.00010536744957789779,3.522242195685976e-07,0.0002075400552712381,4.899339464317074e-62
17410,292,facs,3m,18m,female,Liver,,,Mmrn2,8.224203109741211,6.655059223703574e-07,0.00019901440828107297,0.000578935956582427,5.016055258205009e-10
62365,95,droplet,3m,18m,male,,,,Ugt2b36,-8.224175453186035,1.2687556591117755e-05,4.242718887326191e-08,0.00011128358164569363,1.0688934723099658e-18
17411,293,facs,3m,18m,female,Liver,,,Ppic,8.223776817321777,1.5056485835884814e-07,4.50121660833247e-05,0.00015281148080248386,3.2491319135293994e-06
17412,294,facs,3m,18m,female,Liver,,,Tinagl1,8.222433090209961,1.4950196600693744e-06,0.0004465254314709455,0.0010134964250028133,9.144320242348352e-19
11472,322,droplet,3m,24m,male,Kidney,,,Lipc,8.222060203552246,6.0185463723883e-08,1.7971551642403938e-05,8.73692988534458e-05,2.5585142312559265e-26
94204,37,facs,18m,24m,male,SCAT,Fat,epithelial cell,Sepp1,8.221626281738281,3.2969087442324962e-06,0.0009841544087976217,0.0014542111894115806,9.52094897348358e-06
45839,148,droplet,3m,30m,male,Lung,,,Col1a2,-8.220632553100586,0.001622854033485055,5.440294444269966e-06,0.0022749423515051603,3.6186058975606176e-243
96087,278,facs,3m,24m,male,BAT,Fat,myeloid cell,Pnliprp1,8.21912956237793,3.927761440536415e-07,0.00011704440839821473,0.00034253214835189283,2.827985176890035e-06
71227,38,facs,18m,24m,male,Spleen,,B cell,Ins2,8.216079711914062,7.696268511381277e-08,2.288612085976638e-05,3.736451981239952e-05,7.112444430893503e-38
11473,323,droplet,3m,24m,male,Kidney,,,Dysf,-8.21597671508789,1.7490348909632303e-05,5.8821445492185376e-08,7.613190973643214e-05,6.284733754874464e-08
17413,295,facs,3m,18m,female,Liver,,,Gltp,8.213602066040039,6.233503881958313e-07,0.00018504333274904639,0.0004317802668083459,1.629750544080017e-17
45840,149,droplet,3m,30m,male,Liver,,,Csprs,8.211373329162598,2.0919101473282353e-07,6.200328061822802e-05,0.00010705427848733962,9.216529034914673e-134
45841,150,droplet,3m,30m,male,Lung,,,Fbln1,-8.209586143493652,0.0003173095756210387,1.0718918019847479e-06,0.00044560598325915635,1.3588282973874691e-239
119496,279,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Spop,-8.209057807922363,8.878657536115497e-05,3.000359924953955e-07,0.0001430700795026496,2.063162646486996e-21
45842,151,droplet,3m,30m,male,Liver,,,Cyp4f14,-8.20843505859375,0.00018555260612629354,6.27308565981366e-07,0.00024197147286031395,2.175974436739546e-54
67124,137,droplet,3m,30m,male,,,,Klk13,-8.2075777053833,1.1273828931734897e-05,3.813582338807464e-08,4.3885534978471696e-05,1.0290756962210946e-21
53348,315,droplet,24m,30m,male,Kidney,,,Serpina1d,8.207043647766113,1.1369241548209175e-07,3.3597090805415064e-05,0.000216703861951828,6.47986916696889e-23
45843,152,droplet,3m,30m,male,Liver,,,Vim,8.206632614135742,1.519650140835438e-06,0.0004489380808081478,0.0006678334902971983,1.5180917904503208e-217
101804,280,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Chmp3,-8.204652786254883,0.0001230932684848085,4.1724064203663147e-07,0.00019286277529317886,1.938083378047718e-28
119497,281,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Setd7,-8.203648567199707,2.784766002150718e-05,9.445826520959599e-08,7.199305400718004e-05,9.322062860811007e-06
118743,282,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,medium spiny neuron,Nufip2,-8.203411102294922,8.411357703153044e-05,2.853590501672443e-07,9.94502188405022e-05,2.0114846667325185e-06
17414,296,facs,3m,18m,female,Liver,,,Ctla2a,8.199893951416016,3.2508930303265515e-07,9.55912473727949e-05,0.00024542291066609323,9.538539566706069e-14
45844,153,droplet,3m,30m,male,Liver,,,Car14,-8.199268341064453,5.500016413861886e-05,1.8712684379806888e-07,0.0001239223638549447,1.7244875629036895e-15
69763,107,droplet,24m,30m,male,,,,Spink3,8.198907852172852,1.7662136997387279e-06,0.0005189921357668936,0.0019937269389629364,0.0
69764,108,droplet,24m,30m,male,,,,Slc26a3,8.194927215576172,3.215926014377146e-08,9.424068593943957e-06,9.40999889280647e-05,4.822859382645038e-13
11474,324,droplet,3m,24m,male,Kidney,,,Cd5l,8.191070556640625,6.952161157869341e-08,2.031814437941648e-05,0.00020627958292607218,4.574684629004468e-07
89168,283,facs,3m,24m,male,Brain_Non-Myeloid,Cortex,oligodendrocyte,Pnpla8,-8.185436248779297,5.4651653044857085e-05,1.877323398957742e-07,9.926689381245524e-05,8.164142461472849e-26
45845,154,droplet,3m,30m,male,Liver,,,Apoa5,-8.184612274169922,0.001145763206295669,3.938048394047655e-06,0.0009598948527127504,9.234749486902376e-138
67125,138,droplet,3m,30m,male,,,,Col17a1,-8.183065414428711,5.475305806612596e-05,1.883899756194296e-07,0.00015369309403467923,1.63595823056291e-307
53349,316,droplet,24m,30m,male,Kidney,,,Ggt1,8.18153190612793,1.842046799538366e-06,0.0005347952246665955,0.0007157581276260316,0.0
11475,325,droplet,3m,24m,male,Spleen,,,Rhd,8.181354522705078,5.526680979528464e-07,0.00016043467621784657,0.0008567102486267686,1.3313035793204865e-27
53350,317,droplet,24m,30m,male,Kidney,,,Ptpru,8.179727554321289,5.412789860770317e-08,1.5695408364990726e-05,0.00010575927444733679,1.7728431983724647e-14
7779,0,droplet,3m,18m,female,Spleen,,,Sostdc1,8.178520202636719,9.963081026853615e-08,2.8865419153589755e-05,0.00033569143852218986,9.016619576494955e-06
11476,326,droplet,3m,24m,male,Kidney,,,Flrt1,-8.17795467376709,3.0786428396822885e-05,1.0630299129843479e-07,8.53674573590979e-05,1.198295280940888e-25
64138,39,droplet,3m,21m,female,,,,Pcsk1n,8.177513122558594,3.8155656056915177e-07,0.0001104680632124655,0.0006953086121939123,5.823733226851017e-178
119498,284,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Inpp5k,-8.175993919372559,7.141879905248061e-05,2.469400328664051e-07,0.00017841810768004507,6.755136243604257e-07
62366,96,droplet,3m,18m,male,,,,Slc27a5,-8.174196243286133,8.376064215553924e-06,2.8996582912554913e-08,8.354418241651729e-05,5.4226148055938763e-08
17415,297,facs,3m,18m,female,Liver,,,Dnase1l3,8.167215347290039,2.9769680622848682e-05,0.008557578548789024,0.015948528423905373,1.5092078627887097e-29
69765,109,droplet,24m,30m,male,,,,Pkp1,-8.166377067565918,7.617536903126165e-05,2.6514805995248025e-07,0.00027474178932607174,0.0
11477,327,droplet,3m,24m,male,Kidney,,,Slc22a2,-8.162673950195312,8.771558350417763e-05,3.061015547700663e-07,0.00018861563876271248,3.76532698538617e-51
53351,318,droplet,24m,30m,male,Liver,,,Cyp2d10,-8.160551071166992,0.0005708883982151747,1.9951717149524484e-06,0.0006018654676154256,1.3425650976048174e-19
